"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.56215","19.20419","20.24258","19.38926","","17.7411","17.61527","","","","","","","25.09578","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2609","12.56712","8.53024","11.32094","12.03027","10.29234","11.98575","11.3072","","","","","","","",
"Africa Western and Central","AFW","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.36241","","","","","","","","","","","","","",
"Angola","AGO","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86682","","6.78368","9.82258","7.97805","","","","","","","",
"Andorra","AND","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07701","","6.70211","6.94716","9.91968","11.05105","","17.78799","13.31665","13.52729","","16.375","11.27472","14.38817","13.63639","13.56321","13.93424","","","","","","",
"Arab World","ARB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.14859","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.11422","16.60092","15.74535","16.89971","15.21159","12.85688","12.94152","16.11186","16.7607","17.83472","19.1992","22.23454","19.26875","20.64525","20.75691","21.62494","21.31954","22.87436","21.59171","20.6226","","","","","","","",
"Armenia","ARM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8701","14.57604","","","","","","","","","","",
"American Samoa","ASM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.34896","","9.80909","","","","","","","","","","","","","",
"Australia","AUS","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.03172","","","","","","","","","","","","","","","","","16.08962","16.77557","16.54706","17.13625","14.98139","","","","","","","","",
"Austria","AUT","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.92871","29.29272","27.16046","27.05851","27.00313","27.87828","26.59278","25.39476","25.70922","25.40733","26.29943","29.28391","28.43686","29.42218","26.71204","27.58908","27.05619","27.293","27.72044","","","","","","","","",
"Azerbaijan","AZE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.30693","52.60466","","51.66644","51.76177","","","","44.65009","48.60981","40.64224","32.87148","31.24881","","","","","","","","","","","",
"Belgium","BEL","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.52636","","","","","","","","","","","",
"Benin","BEN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.23022","22.36552","18.23596","20.13692","22.61676","","","","","","","","","13.80213","13.01251","11.34655","","","","","","","","","",
"Burkina Faso","BFA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.79333","22.28991","29.17324","","","20.56827","22.74974","18.18041","15.59634","16.09687","17.26223","19.92959","","","","","","","","",
"Bangladesh","BGD","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.99201","9.29947","","10.41505","11.27777","12.24151","","12.55229","12.11735","11.56194","10.31646","12.56133","11.21871","10.41856","","","","9.88363","","","","","","","","",
